Unnamed: 0,company,item,calories,"total fat
878,KFC,Tropicana® Pink Lemonade (30 fl oz),390,13,4,0,35,390,100,0,100,9
879,KFC,Tropicana® Twister® Orange (12 fl oz),170,13,4,0,35,35,46,0,46,9
880,KFC,Tropicana® Twister® Orange (16 fl oz),230,13,4,0,35,50,61,0,61,9
881,KFC,Tropicana® Twister® Orange (20 fl oz),290,13,4,0,35,60,76,0,76,9
882,KFC,Tropicana® Twister® Orange (30 fl oz),430,13,4,0,35,90,115,0,114,9
883,KFC,Wild Cherry Pepsi® (12 fl oz),160,13,4,0,35,30,42,0,42,9
884,KFC,Wild Cherry Pepsi® (16 fl oz),210,13,4,0,35,40,56,0,56,9
885,KFC,Wild Cherry Pepsi® (20 fl oz),260,13,4,0,35,50,70,0,70,9
886,KFC,Wild Cherry Pepsi® (30 fl oz),390,13,4,0,35,80,105,0,105,9
887,KFC,Country Fried Steak without Peppered White Gravy,360,24,7,1,35,750,22,2,0,13
888,KFC,Country Fried Steak with Peppered White Gravy,390,26,7,1,35,910,26,2,0,13
889,KFC,KFC® Gizzards,300,16,2,0,210,770,18,0,0,20
890,KFC,KFC® Livers,230,13,2,0,285,750,12,0,0,17
891,Taco Bell,Bacon Club Chalupa,440,27,5,0,50,840,31,2,3,20
892,Taco Bell,Blue Raspberry Freeze™ (16 oz),120,13,4,0,35,35,30,0,30,9
893,Taco Bell,Blue Raspberry Freeze™ (20 oz),150,13,4,0,35,40,38,0,38,9
894,Taco Bell,Loaded Nacho Taco,250,12,4,0,25,610,24,3,2,10
895,Taco Bell,Midnight Berry Freeze™ (16 oz),140,13,4,0,35,35,35,0,34,9
896,Taco Bell,Midnight Berry Freeze™ (20 oz),170,13,4,0,35,40,43,0,42,9
897,Taco Bell,Nacho Fries,320,18,1,0,20,630,35,4,2,4
898,Taco Bell,Nacho Fries BellGrande®,710,40,6,0,30,1440,73,10,4,13
899,Taco Bell,Black Bean Chalupa – Online Exclusive,330,15,3,0,10,430,39,5,3,10
900,Taco Bell,Black Bean Quesarito – Online Exclusive,630,29,10,0,35,1260,73,7,5,19
901,Taco Bell,Quesarito – Online Exclusive,650,33,12,0,55,1390,67,6,5,22
902,Taco Bell,Chalupa Supreme® – Beef,350,18,5,0,25,560,33,4,3,13
903,Taco Bell,Chalupa Supreme® – Chicken,330,15,3,0,35,560,31,2,3,16
904,Taco Bell,Chalupa Supreme® – Steak,330,16,4,0,30,530,32,2,3,15
905,Taco Bell,Cheesy Gordita Crunch,500,28,10,0,55,850,41,5,4,20
906,Taco Bell,Crunchy Taco,170,9,3,0,25,310,13,3,8,8
907,Taco Bell,Crunchy Taco Supreme®,190,11,4,0,25,340,15,3,2,8
908,Taco Bell,Loaded Nacho Taco (New),250,12,4,0,25,610,24,3,2,10
909,Taco Bell,Nacho Cheese Doritos® Locos Taco,170,9,3,0,25,360,13,3,8,8
910,Taco Bell,Nacho Cheese Doritos® Locos Taco Supreme®,190,11,4,0,30,380,15,3,2,8
911,Taco Bell,Soft Taco – Beef,180,9,4,0,25,500,17,3,1,9
912,Taco Bell,Soft Taco – Chicken,160,5,2,0,30,500,16,1,1,12
913,Taco Bell,Soft Taco Supreme®,240,8,3,0,20,190,34,0,8,7
914,Taco Bell,Soft Taco – Beef,210,10,5,0,25,520,20,3,2,10
915,Taco Bell,Soft Taco – Chicken,180,7,3,0,35,520,18,2,2,13
916,Taco Bell,Bean Burrito (V),350,9,3,0,5,1000,54,11,3,13
917,Taco Bell,Beefy 5-Layer Burrito,490,18,7,0,30,1250,63,9,5,18
918,Taco Bell,Burrito Supreme® – Beef,390,14,6,0,25,1110,51,9,4,16
919,Taco Bell,Burrito Supreme® – Chicken,370,11,4,0,35,1110,49,8,4,19
920,Taco Bell,Burrito Supreme® – Steak,370,12,5,0,30,1090,49,7,4,18
921,Taco Bell,Chili Cheese Burrito (regional),370,17,8,0,35,970,40,4,2,16
922,Taco Bell,Quesarito – Beef,650,33,12,0,55,1390,67,6,5,22
923,Taco Bell,Quesarito – Chicken,620,29,11,0,65,1390,66,4,4,25
924,Taco Bell,Quesarito – Steak,630,30,11,0,60,1370,66,4,4,24
925,Taco Bell,Chips and Nacho Cheese Sauce (V),220,13,1,0,20,250,24,2,2,2
926,Taco Bell,Nacho Fries (V) (New),320,18,1,0,20,630,35,4,2,4
927,Taco Bell,Nacho Fries BellGrande® (New),710,40,6,0,30,1440,73,10,4,13
928,Taco Bell,Nachos BellGrande® – Beef,740,38,7,0,25,1050,82,15,5,16
929,Taco Bell,Nachos BellGrande® – Chicken,720,35,6,0,35,1050,81,14,5,20
930,Taco Bell,Nachos BellGrande® – Steak,720,36,6,0,30,1030,81,14,5,19
931,Taco Bell,Beef Quesarito,650,33,12,0,55,1390,67,6,5,22
932,Taco Bell,Black Bean Quesarito (V),630,29,10,0,35,1260,73,7,5,19
933,Taco Bell,Quesadilla – Cheese (V),470,25,12,0,50,990,37,4,2,19
934,Taco Bell,Quesadilla – Chicken,510,26,12,0,75,1250,38,4,2,27
935,Taco Bell,Quesadilla – Steak,520,27,12,0,70,1230,38,4,2,27
936,Taco Bell,Bacon Club Chalupa – Specialties,440,27,5,0,50,840,31,2,3,20
937,Taco Bell,Black Bean Chalupa – Specialties,330,15,3,0,10,430,39,5,3,10
938,Taco Bell,Black Bean Crunchwrap Supreme – Specialties,510,17,4,0,5,1080,77,8,6,13
939,Taco Bell,Black Bean Quesarito – Specialties,630,29,10,0,35,1260,73,7,5,19
940,Taco Bell,Chalupa Supreme® – Specialties,350,18,5,0,25,560,33,4,3,13
941,Taco Bell,Cheesy Gordita Crunch – Specialties,500,28,10,0,55,850,41,5,4,20
942,Taco Bell,Cheesy Roll Up – Specialties,180,9,5,0,20,430,15,2,8,9
943,Taco Bell,Crunchwrap Supreme® – Specialties,530,21,6,0,25,1200,71,6,6,16
944,Taco Bell,Crunchy Taco – Specialties,170,9,3,0,25,310,13,3,8,8
945,Taco Bell,Nacho Cheese Doritos® Locos Taco – Specialties,170,9,3,0,25,360,13,3,8,8
946,Taco Bell,Nachos BellGrande® – Specialties,740,38,7,0,25,1050,82,15,5,16
947,Taco Bell,Power Menu Bowl – Specialties,470,19,6,0,70,1200,50,7,2,26
948,Taco Bell,Quesadilla – Specialties,510,26,12,0,75,1250,38,4,2,27
949,Taco Bell,Quesarito – Specialties,650,33,12,0,55,1390,67,6,5,22
950,Taco Bell,Soft Taco – Specialties,180,9,4,0,25,500,17,3,1,9
951,Taco Bell,Soft Taco Supreme – Specialties,210,10,5,0,25,520,20,3,2,10
952,Taco Bell,Veggie Power Menu Bowl – Specialties,430,17,5,0,20,810,57,10,2,12
953,Taco Bell,Black Beans & Rice (V),170,3,4,0,35,320,31,4,0,4
954,Taco Bell,Black Beans (V),50,1,4,0,35,135,8,3,0,2
955,Taco Bell,Cinnabon® Delights™ (2 Pk) (V),160,9,2,0,5,80,17,0,10,2
956,Taco Bell,Cinnabon® Delights™ (12 Pk – Serves 4) (V),930,53,13,2,40,480,104,3,59,9
957,Taco Bell,Cinnamon Twists (V),170,6,4,0,35,210,27,0,13,1
958,Taco Bell,Diablo Sauce Packet (V),260,13,4,0,35,30,34,0,0,9
959,Taco Bell,Fire Sauce Packet (V),260,13,4,0,35,55,34,0,0,9
960,Taco Bell,Hot Sauce Packet (V),260,13,4,0,35,45,34,0,0,9
961,Taco Bell,Mild Sauce Packet (V),260,13,4,0,35,30,34,0,0,9
962,Taco Bell,Blue Raspberry Freeze™ (16 oz) (New),120,13,4,0,35,35,30,0,30,9
963,Taco Bell,Blue Raspberry Freeze™ (20 oz) (New),150,13,4,0,35,40,38,0,38,9
964,Taco Bell,Dragon Fruit Freeze (16 oz),190,13,4,0,35,50,49,0,47,9
965,Taco Bell,Dragon Fruit Freeze (20 oz),230,13,4,0,35,60,59,0,57,9
966,Taco Bell,Lowfat Milk – CA (Regional),100,2,1,0,10,130,13,0,12,9
967,Taco Bell,Lowfat Milk – Federal (Regional),80,2,1,0,10,100,10,0,9,7
968,Taco Bell,Midnight Berry Freeze™ (16 oz) (New),140,13,4,0,35,35,35,0,34,9
969,Taco Bell,Midnight Berry Freeze™ (20 oz) (New),170,13,4,0,35,40,43,0,42,9
970,Taco Bell,Mtn Dew® Baja Blast Freeze™ (16 oz),150,13,4,0,35,45,41,0,41,9
971,Taco Bell,Mtn Dew® Baja Blast Freeze™ (20 oz),190,13,4,0,35,55,51,0,51,9
972,Taco Bell,Orange Juice,140,13,4,0,35,20,33,0,28,2
973,Taco Bell,Premium Hot Coffee,10,13,4,0,35,210,34,0,0,2
974,Taco Bell,Regular Iced Coffee,10,13,4,0,35,210,34,0,0,2
975,Taco Bell,Water,260,13,4,0,35,210,34,0,0,9
976,Taco Bell,Wild Strawberry Freeze™ (16 oz),150,13,4,0,35,40,41,0,41,9
977,Taco Bell,Wild Strawberry Freeze™ (20 oz),190,13,4,0,35,55,51,0,51,9
978,Taco Bell,Beef Burrito – Value Menu,430,19,5,0,20,970,51,4,3,12
979,Taco Bell,Cheesy Bean & Rice Burrito – Value Menu,420,16,4,0,20,880,56,7,3,10
980,Taco Bell,Cheesy Roll Up – Value Menu,180,9,5,0,20,430,15,2,8,9
981,Taco Bell,Chicken Chipotle Melt – Value Menu,190,9,3,0,35,530,15,1,8,12
982,Taco Bell,Chips and Nacho Cheese Sauce – Value Menu,220,13,1,0,20,250,24,2,2,2
983,Taco Bell,Cinnamon Twists – Value Menu,170,6,4,0,35,210,27,0,13,1
984,Taco Bell,Loaded Nacho Taco – Value Menu,250,12,4,0,25,610,24,3,2,10
985,Taco Bell,Bean Burrito,350,9,3,0,5,1000,54,11,3,13
986,Taco Bell,Black Bean Chalupa,330,15,3,0,10,430,39,5,3,10
987,Taco Bell,Black Bean Crunchwrap Supreme,510,17,4,0,5,1080,77,8,6,13
988,Taco Bell,Black Bean Quesarito,630,29,10,0,35,1260,73,7,5,19
989,Taco Bell,Black Beans & Rice,170,3,4,0,35,320,31,4,0,4
990,Taco Bell,Cheese Quesadilla,470,25,12,0,50,990,37,4,2,19
991,Taco Bell,Cheesy Bean & Rice Burrito,420,16,4,0,20,880,56,7,3,10
992,Taco Bell,Cheesy Roll Up,180,9,5,0,20,430,15,2,8,9
993,Taco Bell,Chips and Nacho Cheese Sauce,220,13,1,0,20,250,24,2,2,2
994,Taco Bell,Cinnabon® Delights™ (2 Pack),160,9,2,0,5,80,17,0,10,2
995,Taco Bell,Cinnabon® Delights™ (12 Pack – Serves 4),930,53,13,2,40,480,104,3,59,9
996,Taco Bell,Cinnamon Twists,170,6,4,0,35,210,27,0,13,1
997,Taco Bell,Hash Brown,160,12,1,0,35,270,13,2,0,1
998,Taco Bell,Power Menu Bowl – Veggie,430,17,5,0,20,810,57,10,2,12
999,Taco Bell,Power Menu Bowl – Chicken,470,19,6,0,70,1200,50,7,2,26
1000,Taco Bell,Power Menu Bowl – Steak,480,20,7,0,60,1150,51,7,2,25
1001,Taco Bell,Power Menu Bowl – Veggie (V),430,17,5,0,20,810,57,10,2,12
1002,Taco Bell,Breakfast Crunchwrap – Bacon,670,41,12,0,140,1270,50,4,3,21
1003,Taco Bell,Breakfast Crunchwrap – Sausage,720,47,15,0,145,1210,51,4,3,21
1004,Taco Bell,Breakfast Crunchwrap – Steak,660,38,12,0,145,1300,51,4,3,24
1005,Taco Bell,Breakfast Salsa Packet (V),260,13,4,0,35,50,34,0,0,9
1006,Taco Bell,Cheesy Toasted Breakfast Burrito – Bacon,350,16,4,0,115,870,36,2,3,13
1007,Taco Bell,Cheesy Toasted Breakfast Burrito – Fiesta Potato (V),340,14,3,0,100,750,43,3,3,10
1008,Taco Bell,Cheesy Toasted Breakfast Burrito – Sausage,340,17,5,0,110,730,36,2,3,11
1009,Taco Bell,Cinnabon® Delights™ (2 Pack) (V),160,9,2,0,5,80,17,0,10,2
1010,Taco Bell,Cinnabon® Delights™ (12 Pack – Serves 4) (V),930,53,13,2,40,480,104,3,59,9
1011,Taco Bell,Grande Toasted Breakfast Burrito – Bacon,560,30,10,0,230,1290,49,4,3,24
1012,Taco Bell,Grande Toasted Breakfast Burrito – Sausage,560,31,10,0,230,1150,49,4,3,22
1013,Taco Bell,Grande Toasted Breakfast Burrito – Steak,560,28,9,0,240,1310,50,4,3,27
1014,Taco Bell,Hash Brown (V),160,12,1,0,35,270,13,2,0,1
1015,Taco Bell,Hash Brown Toasted Breakfast Burrito – Bacon,570,33,10,0,135,1270,49,4,2,21
1016,Taco Bell,Hash Brown Toasted Breakfast Burrito – Sausage,570,34,10,0,130,1130,49,4,2,18
1017,Taco Bell,Hash Brown Toasted Breakfast Burrito – Steak,570,30,9,0,140,1290,50,4,2,24
1018,Taco Bell,7-Up (16 fl oz),190,8,3,0,70,46,34,0,46,7
1019,Taco Bell,Brisk® Mango Iced Tea (16 fl oz),100,8,3,0,50,26,34,0,26,7
1020,Taco Bell,Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),260,8,3,0,60,210,34,0,0,7
1021,Taco Bell,Diet Dr Pepper® (16 fl oz),260,8,3,0,95,210,34,0,0,7
1022,Taco Bell,Diet Mtn Dew® (16 fl oz),5,8,3,0,75,1,34,0,1,7
1023,Taco Bell,Diet Pepsi® (16 fl oz),260,8,3,0,75,210,34,0,0,7
1024,Taco Bell,Dr Pepper® (16 fl oz),190,8,3,0,60,52,34,0,51,7
1025,Taco Bell,G2 – Fruit Punch (16 fl oz),30,8,3,0,140,7,34,0,6,7
1026,Taco Bell,Mtn Dew® (16 fl oz),220,8,3,0,70,59,34,0,58,7
1027,Taco Bell,Mtn Dew® Baja Blast™ (16 fl oz),220,8,3,0,65,59,34,0,59,7
1028,Taco Bell,Mtn Dew® Baja Blast Zero Sugar (16 fl oz),5,8,3,0,70,210,34,0,0,7
1029,Taco Bell,Mtn Dew® Kickstart™ Orange Citrus (16 fl oz),70,8,3,0,75,18,34,0,18,7
1030,Taco Bell,Mug® Root Beer (16 fl oz),190,8,3,0,60,52,34,0,52,7
1031,Taco Bell,Pepsi® (16 fl oz),200,8,3,0,45,55,34,0,55,7
1032,Taco Bell,Pepsi® Wild Cherry (16 fl oz),210,8,3,0,40,56,34,0,56,7
1033,Taco Bell,Pepsi® Zero Sugar (16 fl oz),260,8,3,0,85,210,34,0,0,7
1034,Taco Bell,Sierra Mist® (16 fl oz),200,8,3,0,45,54,34,0,54,7
1035,Taco Bell,Tropicana® Pink Lemonade (16 fl oz),210,8,3,0,210,53,34,0,53,7
1036,Taco Bell,7-Up (20 fl oz),240,8,3,0,85,58,34,0,58,7
1037,Taco Bell,Brisk® Mango Iced Tea (20 fl oz),120,8,3,0,60,32,34,0,32,7
1038,Taco Bell,Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),260,8,3,0,75,210,34,0,0,7
1039,Taco Bell,Diet Dr Pepper® (20 fl oz),260,8,3,0,120,210,34,0,0,7
1040,Taco Bell,Diet Mtn Dew® (20 fl oz),10,8,3,0,90,1,34,0,1,7
1041,Taco Bell,Diet Pepsi® (20 fl oz),260,8,3,0,95,210,34,0,0,7
1042,Taco Bell,Dr Pepper® (20 fl oz),240,8,3,0,75,65,34,0,64,7
1043,Taco Bell,G2 – Fruit Punch (20 fl oz),35,8,3,0,180,9,34,0,8,7
1044,Taco Bell,Mtn Dew® (20 fl oz),270,8,3,0,85,73,34,0,73,7
1045,Taco Bell,Mtn Dew® Baja Blast™ (20 fl oz),280,8,3,0,80,74,34,0,73,7
1046,Taco Bell,Mtn Dew® Baja Blast Zero Sugar (20 fl oz),10,8,3,0,85,210,34,0,0,7
1047,Taco Bell,Mtn Dew® Kickstart™ Orange Citrus (20 fl oz),90,8,3,0,90,23,34,0,22,7
1048,Taco Bell,Mug® Root Beer (20 fl oz),240,8,3,0,75,65,34,0,65,7
1049,Taco Bell,Pepsi® (20 fl oz),250,8,3,0,55,69,34,0,69,7
1050,Taco Bell,Pepsi® Wild Cherry (20 fl oz),260,8,3,0,50,70,34,0,70,7
1051,Taco Bell,Pepsi® Zero Sugar (20 fl oz),260,8,3,0,105,210,34,0,0,7
1052,Taco Bell,Sierra Mist® (20 fl oz),260,8,3,0,55,68,34,0,68,7
1053,Taco Bell,Tropicana® Pink Lemonade (20 fl oz),260,8,3,0,260,67,34,0,67,7
1054,Taco Bell, ,240,8,3,0,20,190,34,0,8,7
1055,Taco Bell,FOUNTAIN BEVERAGES (30 OZ),240,8,3,0,20,190,34,0,8,7
1056,Taco Bell,7-Up (30 fl oz),350,8,3,0,125,87,34,0,87,7
1057,Taco Bell,Brisk® Mango Iced Tea (30 fl oz),180,8,3,0,90,48,34,0,48,7
1058,Taco Bell,Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),260,8,3,0,115,210,34,0,0,7
1059,Taco Bell,Diet Dr Pepper® (30 fl oz),260,8,3,0,180,1,34,0,0,7
1060,Taco Bell,Diet Mtn Dew® (30 fl oz),10,8,3,0,140,1,34,0,1,7
1061,Taco Bell,Diet Pepsi® (30 fl oz),260,8,3,0,140,210,34,0,0,7
1062,Taco Bell,Dr Pepper® (30 fl oz),360,8,3,0,110,98,34,0,96,7
1063,Taco Bell,G2 – Fruit Punch (30 fl oz),50,8,3,0,270,13,34,0,12,7
1064,Taco Bell,Mtn Dew® (30 fl oz),410,8,3,0,125,110,34,0,109,7
1065,Taco Bell,Mtn Dew® Baja Blast™ (30 fl oz),420,8,3,0,120,110,34,0,110,7
1066,Taco Bell,Mtn Dew® Baja Blast Zero Sugar (30 fl oz),15,8,3,0,125,210,34,0,0,7
1067,Taco Bell,Mtn Dew® Kickstart™ Orange Citrus (30 fl oz),130,8,3,0,140,34,34,0,33,7
1068,Taco Bell,Mug® Root Beer (30 fl oz),360,8,3,0,110,98,34,0,98,7
1069,Taco Bell,Pepsi® (30 fl oz),380,8,3,0,80,104,34,0,103,7
1070,Taco Bell,Pepsi® Wild Cherry (30 fl oz),390,8,3,0,80,105,34,0,105,7
1071,Taco Bell,Pepsi® Zero Sugar (30 fl oz),260,8,3,0,160,190,34,0,0,7
1072,Taco Bell,Sierra Mist® (30 fl oz),380,8,3,0,80,101,34,0,101,7
1073,Taco Bell,Tropicana® Pink Lemonade (30 fl oz),390,8,3,0,390,100,34,0,100,7
1074,Pizza Hut,Detroit Double Cheesy Pizza Slice,280,12,6,0,30,560,31,2,2,13
1075,Pizza Hut,Detroit Double Pepperoni Pizza Slice,330,17,7,0,40,720,30,2,2,14
1076,Pizza Hut,Detroit Meaty Pizza Slice,320,16,6,0,35,640,31,2,2,14
1077,Pizza Hut,Detroit Supremo Pizza Slice,290,13,6,0,30,570,31,2,2,13
1078,Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Personal Pan,180,6,2,0,15,370,25,1,8,8
1079,Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Medium,270,10,4,0,25,450,33,2,6,11
1080,Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Large,380,16,6,0,35,650,43,2,7,16
1081,Pizza Hut,Pan Pizza Slices Beyond Meat® Pepperoni Medium,240,10,4,0,15,470,29,2,1,10
1082,Pizza Hut,Pan Pizza Slices Beyond Meat® Pepperoni Large,350,16,6,0,25,680,38,3,2,14
1083,Pizza Hut,Pan Pizza Slices Buffalo Chicken Personal Pan,160,5,2,0,15,570,22,1,2,7
1084,Pizza Hut,Pan Pizza Slices Buffalo Chicken Medium,240,9,3,0,20,680,31,2,2,11
1085,Pizza Hut,Pan Pizza Slices Buffalo Chicken Large,350,14,5,0,30,850,40,2,2,15
1086,Pizza Hut,Pan Pizza Slices Cheese Personal Pan,150,6,2,0,15,310,17,1,2,7
1087,Pizza Hut,Pan Pizza Slices Cheese Medium,250,10,4,0,25,450,28,2,1,11
1088,Pizza Hut,Pan Pizza Slices Cheese Large,360,17,7,0,35,660,37,2,2,16
1089,Pizza Hut,Pan Pizza Slices Chicken Bacon Parmesan Personal Pan,180,8,3,0,20,350,17,1,2,9
1090,Pizza Hut,Pan Pizza Slices Chicken Bacon Parmesan Medium,270,13,4,0,30,470,27,2,1,12
1091,Pizza Hut,Pan Pizza Slices Chicken Bacon Parmesan Large,390,20,7,0,40,680,35,2,2,18
1092,Pizza Hut,Pan Pizza Slices Hawaiian Chicken Personal Pan,150,5,2,0,15,330,18,1,3,8
1093,Pizza Hut,Pan Pizza Slices Hawaiian Chicken Medium,240,9,3,0,20,480,29,2,2,12
1094,Pizza Hut,Pan Pizza Slices Hawaiian Chicken Large,350,15,5,0,30,690,38,2,3,17
1095,Pizza Hut,Pan Pizza Slices Meat Lover’s® Personal Pan,210,12,4,0,25,460,18,1,2,9
1096,Pizza Hut,Pan Pizza Slices Meat Lover’s® Medium,320,17,6,0,35,640,28,2,1,13
1097,Pizza Hut,Pan Pizza Slices Meat Lover’s® Large,470,27,10,0,50,940,37,2,2,19
1098,Pizza Hut,Pan Pizza Slices Pepperoni Personal Pan,150,7,2,0,15,310,17,1,2,6
1099,Pizza Hut,Pan Pizza Slices Pepperoni Medium,250,11,4,0,25,470,28,2,1,10
1100,Pizza Hut,Pan Pizza Slices Pepperoni Large,370,18,6,0,35,680,36,2,2,15
1101,Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Personal Pan,180,9,3,0,20,370,17,1,2,8
1102,Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Medium,300,15,6,0,35,580,28,2,1,13
1103,Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Large,440,24,9,0,50,850,37,3,2,19
1104,Pizza Hut,Pan Pizza Slices Supreme Personal Pan,170,8,3,0,15,360,18,1,2,7
1105,Pizza Hut,Pan Pizza Slices Supreme Medium,270,13,5,0,25,500,29,2,2,11
1106,Pizza Hut,Pan Pizza Slices Supreme Large,390,20,7,0,40,740,37,2,2,16
1107,Pizza Hut,Pan Pizza Slices Ultimate Cheese Lover’s® Personal Pan,170,8,3,0,15,330,17,1,2,8
1108,Pizza Hut,Pan Pizza Slices Ultimate Cheese Lover’s® Medium,270,13,5,0,25,470,27,2,1,12
1109,Pizza Hut,Pan Pizza Slices Ultimate Cheese Lover’s® Large,390,20,8,0,40,670,36,2,2,17
1110,Pizza Hut,Pan Pizza Slices Veggie Lover’s® Personal Pan,140,5,2,0,10,290,18,1,2,6
1111,Pizza Hut,Pan Pizza Slices Veggie Lover’s® Medium,230,9,3,0,15,420,29,2,2,9
1112,Pizza Hut,Pan Pizza Slices Veggie Lover’s® Large,330,15,5,0,25,620,38,3,3,14
1113,Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Small,140,4,2,0,15,250,20,1,4,6
1114,Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Medium,220,7,3,0,20,390,31,2,6,10
1115,Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Large,300,10,4,0,30,530,40,2,7,14
1116,Pizza Hut,Hand Tossed Slices Beyond Meat® Pepperoni Medium,200,7,3,0,15,410,26,2,1,9
1117,Pizza Hut,Hand Tossed Slices Beyond Meat® Pepperoni Large,280,10,5,0,20,560,35,3,2,12
1118,Pizza Hut,Hand Tossed Slices  Buffalo Chicken Small,130,3,1,0,10,380,19,0,8,6
1119,Pizza Hut,Hand Tossed Slices  Buffalo Chicken Medium,200,5,2,0,20,560,28,2,1,9
1120,Pizza Hut,Hand Tossed Slices  Buffalo Chicken Large,270,8,4,0,30,740,37,2,2,13
1121,Pizza Hut,Hand Tossed Slices Cheese Small,130,4,2,0,10,250,17,1,8,6
1122,Pizza Hut,Hand Tossed Slices Cheese Medium,210,8,3,0,20,390,26,2,1,10
1123,Pizza Hut,Hand Tossed Slices Cheese Large,290,10,5,0,30,540,34,3,2,13
1124,Pizza Hut,Hand Tossed Slices Chicken Bacon Parmesan Small,150,6,2,0,15,270,16,1,8,7
1125,Pizza Hut,Hand Tossed Slices Chicken Bacon Parmesan Medium,230,9,4,0,25,410,25,2,1,11
1126,Pizza Hut,Hand Tossed Slices Chicken Bacon Parmesan Large,310,13,5,0,35,560,33,2,1,16
1127,Pizza Hut,Hand Tossed Slices Hawaiian Chicken Small,130,4,1,0,10,270,17,1,1,7
1128,Pizza Hut,Hand Tossed Slices Hawaiian Chicken Medium,210,6,3,0,20,420,27,2,2,10
1129,Pizza Hut,Hand Tossed Slices Hawaiian Chicken Large,280,9,4,0,30,580,36,3,3,15
1130,Pizza Hut,Hand Tossed Slices Meat Lover’s® Small,180,9,3,0,20,370,17,1,8,7
1131,Pizza Hut,Hand Tossed Slices Meat Lover’s® Medium,290,15,6,0,30,590,26,2,1,12
1132,Pizza Hut,Hand Tossed Slices Meat Lover’s® Large,390,21,8,0,45,830,34,3,2,17
1133,Pizza Hut,Hand Tossed Slices Pepperoni Small,130,5,2,0,10,260,16,1,8,6
1134,Pizza Hut,Hand Tossed Slices Pepperoni Medium,220,9,4,0,20,420,25,2,1,9
1135,Pizza Hut,Hand Tossed Slices Pepperoni Large,300,13,6,0,30,590,34,3,2,13
1136,Pizza Hut,Hand Tossed Slices Pepperoni Lover’s® Small,160,7,3,0,20,310,17,1,8,7
1137,Pizza Hut,Hand Tossed Slices Pepperoni Lover’s® Medium,270,13,6,0,35,530,26,2,1,12
1138,Pizza Hut,Hand Tossed Slices Pepperoni Lover’s® Large,370,18,8,0,50,740,35,3,2,17
1139,Pizza Hut,Hand Tossed Slices Supreme Small,150,6,2,0,15,280,17,1,1,6
1140,Pizza Hut,Hand Tossed Slices Supreme Medium,240,10,4,0,25,450,26,2,2,10
1141,Pizza Hut,Hand Tossed Slices Supreme Large,320,14,6,0,35,630,35,3,2,14
1142,Pizza Hut,Hand Tossed Slices Ultimate Cheese Lover’s® Small,150,6,2,0,15,250,16,1,8,6
1143,Pizza Hut,Hand Tossed Slices Ultimate Cheese Lover’s® Medium,230,10,4,0,25,390,25,2,1,11
1144,Pizza Hut,Hand Tossed Slices Ultimate Cheese Lover’s® Large,310,13,6,0,35,540,33,2,1,15
1145,Pizza Hut,Hand Tossed Slices Veggie Lover’s® Small,120,4,1,0,10,230,17,1,1,5
1146,Pizza Hut,Hand Tossed Slices Veggie Lover’s® Medium,200,6,2,0,15,370,27,2,2,8
1147,Pizza Hut,Hand Tossed Slices Veggie Lover’s® Large,260,9,4,0,20,510,36,3,3,11
